email-id,sender-id,list-of-reveiver-id,date_time,keywords,reply
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,sql java html,160010018@iitdh.ac.in
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,sql java,null
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,sql java,160010018@iitdh.ac.in
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,sql java html,null
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,sql java html,160010018@iitdh.ac.in
160010011@iitdh.ac.in,160010005@iitdh.ac.in,160010011@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,sql html,160010012@iitdh.ac.in
160010012@iitdh.ac.in,160010005@iitdh.ac.in,160010012@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,sql,null
160010013@iitdh.ac.in,160010005@iitdh.ac.in,160010013@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,sql,160010012@iitdh.ac.in
160010014@iitdh.ac.in,160010005@iitdh.ac.in,160010014@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,sql html,null
160010015@iitdh.ac.in,160010005@iitdh.ac.in,160010015@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,sql html,160010012@iitdh.ac.in
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,brand java html,160010018@iitdh.ac.in
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,brand java,null
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,brand java,160010018@iitdh.ac.in
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,brand java html,null
160010017@iitdh.ac.in,160010006@iitdh.ac.in,160010017@iitdh.ac.in 160010018@iitdh.ac.in,14-03-2020 12:15:20,brand java html,160010018@iitdh.ac.in
160010011@iitdh.ac.in,160010005@iitdh.ac.in,160010011@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,brand html,160010012@iitdh.ac.in
160010012@iitdh.ac.in,160010005@iitdh.ac.in,160010012@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,brand,null
160010013@iitdh.ac.in,160010005@iitdh.ac.in,160010013@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,brand,160010012@iitdh.ac.in
160010014@iitdh.ac.in,160010005@iitdh.ac.in,160010014@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,brand html,null
160010015@iitdh.ac.in,160010005@iitdh.ac.in,160010015@iitdh.ac.in 160010016@iitdh.ac.in,14-03-2020 12:15:20,brand html,160010012@iitdh.ac.in
